time,depth,SM,sitename
9/28/2021,10,0.32715007,BN-PLAYABLANCA
9/28/2021,40,0.270915602,BN-PLAYABLANCA
9/28/2021,70,0.304118348,BN-PLAYABLANCA
9/28/2021,120,0.242372857,BN-PLAYABLANCA
9/28/2021,170,0.294591884,BN-PLAYABLANCA
9/29/2021,10,0.324863076,BN-PLAYABLANCA
9/29/2021,40,0.269709348,BN-PLAYABLANCA
9/29/2021,70,0.302809284,BN-PLAYABLANCA
9/29/2021,120,0.24195932,BN-PLAYABLANCA
9/29/2021,170,0.293909631,BN-PLAYABLANCA
9/30/2021,10,0.323579774,BN-PLAYABLANCA
9/30/2021,40,0.268754538,BN-PLAYABLANCA
9/30/2021,70,0.301709695,BN-PLAYABLANCA
9/30/2021,120,0.24156008,BN-PLAYABLANCA
9/30/2021,170,0.293228215,BN-PLAYABLANCA
10/1/2021,10,0.322265763,BN-PLAYABLANCA
10/1/2021,40,0.267803161,BN-PLAYABLANCA
10/1/2021,70,0.300709286,BN-PLAYABLANCA
10/1/2021,120,0.24118702,BN-PLAYABLANCA
10/1/2021,170,0.292567875,BN-PLAYABLANCA
10/2/2021,10,0.321716238,BN-PLAYABLANCA
10/2/2021,40,0.266969822,BN-PLAYABLANCA
10/2/2021,70,0.29980302,BN-PLAYABLANCA
10/2/2021,120,0.240858959,BN-PLAYABLANCA
10/2/2021,170,0.291971155,BN-PLAYABLANCA
10/3/2021,10,0.32047819,BN-PLAYABLANCA
10/3/2021,40,0.266067417,BN-PLAYABLANCA
10/3/2021,70,0.298926118,BN-PLAYABLANCA
10/3/2021,120,0.240513242,BN-PLAYABLANCA
10/3/2021,170,0.291332189,BN-PLAYABLANCA
10/4/2021,10,0.318756884,BN-PLAYABLANCA
10/4/2021,40,0.265124311,BN-PLAYABLANCA
10/4/2021,70,0.298029436,BN-PLAYABLANCA
10/4/2021,120,0.240190585,BN-PLAYABLANCA
10/4/2021,170,0.290647794,BN-PLAYABLANCA
10/5/2021,10,0.316796373,BN-PLAYABLANCA
10/5/2021,40,0.264063346,BN-PLAYABLANCA
10/5/2021,70,0.297116904,BN-PLAYABLANCA
10/5/2021,120,0.239874081,BN-PLAYABLANCA
10/5/2021,170,0.289967723,BN-PLAYABLANCA
10/6/2021,10,0.314680701,BN-PLAYABLANCA
10/6/2021,40,0.262855224,BN-PLAYABLANCA
10/6/2021,70,0.296110123,BN-PLAYABLANCA
10/6/2021,120,0.239576605,BN-PLAYABLANCA
10/6/2021,170,0.289297903,BN-PLAYABLANCA
10/7/2021,10,0.31199611,BN-PLAYABLANCA
10/7/2021,40,0.261576295,BN-PLAYABLANCA
10/7/2021,70,0.295070433,BN-PLAYABLANCA
10/7/2021,120,0.239267407,BN-PLAYABLANCA
10/7/2021,170,0.288679146,BN-PLAYABLANCA
10/8/2021,10,0.310151969,BN-PLAYABLANCA
10/8/2021,40,0.260456901,BN-PLAYABLANCA
10/8/2021,70,0.294110947,BN-PLAYABLANCA
10/8/2021,120,0.238958389,BN-PLAYABLANCA
10/8/2021,170,0.288118081,BN-PLAYABLANCA
10/9/2021,10,0.308029832,BN-PLAYABLANCA
10/9/2021,40,0.259367837,BN-PLAYABLANCA
10/9/2021,70,0.293200836,BN-PLAYABLANCA
10/9/2021,120,0.238669341,BN-PLAYABLANCA
10/9/2021,170,0.287568839,BN-PLAYABLANCA
10/10/2021,10,0.303625551,BN-PLAYABLANCA
10/10/2021,40,0.258329455,BN-PLAYABLANCA
10/10/2021,70,0.292335961,BN-PLAYABLANCA
10/10/2021,120,0.238409127,BN-PLAYABLANCA
10/10/2021,170,0.287015091,BN-PLAYABLANCA
10/11/2021,10,0.298514969,BN-PLAYABLANCA
10/11/2021,40,0.257005364,BN-PLAYABLANCA
10/11/2021,70,0.291391494,BN-PLAYABLANCA
10/11/2021,120,0.238263736,BN-PLAYABLANCA
10/11/2021,170,0.286442931,BN-PLAYABLANCA
10/12/2021,10,0.302083649,BN-PLAYABLANCA
10/12/2021,40,0.256002446,BN-PLAYABLANCA
10/12/2021,70,0.290542769,BN-PLAYABLANCA
10/12/2021,120,0.238156945,BN-PLAYABLANCA
10/12/2021,170,0.285971626,BN-PLAYABLANCA
10/13/2021,10,0.329786174,BN-PLAYABLANCA
10/13/2021,40,0.258541024,BN-PLAYABLANCA
10/13/2021,70,0.290126929,BN-PLAYABLANCA
10/13/2021,120,0.237951327,BN-PLAYABLANCA
10/13/2021,170,0.285475895,BN-PLAYABLANCA
10/14/2021,10,0.354657029,BN-PLAYABLANCA
10/14/2021,40,0.268874524,BN-PLAYABLANCA
10/14/2021,70,0.295210494,BN-PLAYABLANCA
10/14/2021,120,0.237749738,BN-PLAYABLANCA
10/14/2021,170,0.284918982,BN-PLAYABLANCA
10/15/2021,10,0.341612275,BN-PLAYABLANCA
10/15/2021,40,0.268110108,BN-PLAYABLANCA
10/15/2021,70,0.298491962,BN-PLAYABLANCA
10/15/2021,120,0.237597599,BN-PLAYABLANCA
10/15/2021,170,0.284424301,BN-PLAYABLANCA
10/16/2021,10,0.334389254,BN-PLAYABLANCA
